N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
NA,107,Leao,F16,2-Mar-21,ML,20:20,11,111,-3.86988,-32.43739,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 111 F16
NA,114,Leao,NA,2-Mar-21,ML,NA,11,113,-3.87047,-32.4385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-113 Entre 23 e 00:00
NA,117,Leao,F8,3-Mar-21,ML,22:15,10,96,-3.87025,-32.43805,NA,NA,BRA 27901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 096 - F8 (tartaruga entrando na água, apenas uma marca conferida)"
NA,123,Leao,NA,4-Mar-21,ML,NA,10,100,-3.87046,-32.43853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 100 Entre 22:30 e 23:30
NA,133,Leao,F5,10-Mar-21,ML,21:30,11,123,-3.87039,-32.43865,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 123 - F5
NA,136,Leao,F3,10-Mar-21,ML,01:28,11,125,-3.87035,-32.43875,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 125 - F3
NA,143,Leao,F21,12-Mar-21,ML,21:33,10,111,-3.86958,-32.43493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS10-111 F21
NA,147,Leao,NA,13-Mar-21,ML,NA,10,113,-3.86954,-32.43493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 113 - Entre 20:05 e 21:30
NA,148,Leao,NA,13-Mar-21,ML,NA,10,114,-3.86948,-32.43514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 114 - Entre 20:05 e 21:30
NA,152,Leao,F23,14-Mar-21,ML,20:04,11,129,-3.86948,-32.43517,NA,NA,BRA 27964,BRA 27965,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-129 F23
NA,153,Leao,F24,14-Mar-21,ML,20:15,11,130,-3.86974,-32.43713,BRA 27961,NA,BR 83201,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-130 F24 Tartaruga entrando na agua
NA,154,Leao,NA,14-Mar-21,ML,20:16,11,131,-3.86992,-32.43713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 131 Tartaruga entrando na agua
NA,156,Leao,F4,14-Mar-21,ML,20:20,11,134,-3.86989,-32.43776,NA,NA,BRA 27909,BRA 27908,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 134 - F4
NA,157,Leao,NA,14-Mar-21,ML,NA,11,132,-3.87036,-32.43935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 132. Entre 22:30 e 23:40
NA,159,Leao,F9,14-Mar-21,ML,23:45,11,133,-3.87055,-32.43944,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 133 F9
NA,161,Leao,F14,14-Mar-21,ML,03:12,10,121,-3.86957,-32.43542,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 121 - F14
NA,164,Leao,NA,15-Mar-21,ML,NA,11,138,-3.86989,-32.43696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 138. Antes das 20:10
NA,165,Leao,F11,15-Mar-21,ML,20:15,10,123,-3.87044,-32.43926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 123 F11 (tartaruga entrando na água, não foi possível conferir as marcas)"
NA,166,Leao,F4,15-Mar-21,ML,21:21,11,140,-3.8699,-32.43696,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 140 F4
NA,169,Leao,NA,15-Mar-21,ML,NA,11,142,-3.86989,-32.4369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 142. Entre 22:00 e 22:50. 
NA,178,Leao,NA,17-Mar-21,ML,NA,11,152,-3.86955,-32.43492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 152. Antes das 20:07
NA,183,Leao,NA,18-Mar-21,ML,NA,11,153,-3.87008,-32.43999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 153. Antes das 20:25
NA,184,Leao,F17,18-Mar-21,ML,21:28,10,129,-3.86948,-32.43535,NA,NA,BRA 27949,BRA 27951,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 129 F17
NA,190,Leao,NA,21-Mar-21,ML,NA,10,134,-3.8695,-32.43512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-134 Entre 00:20 e 1:30
NA,191,Leao,F10,21-Mar-21,ML,01:43,10,135,-3.86948,-32.43519,NA,NA,BR 77094,BRA 06231,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-135 F10
NA,194,Leao,NA,23-Mar-21,ML,NA,11,156,-3.86981,-32.43641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-156 Antes das 20:03
NA,197,Leao,NA,25-Mar-21,ML,NA,11,159,-3.86959,-32.43568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-159 Antes das 19:55
