N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
51,Leao,SD,28-Jan-20,NA,04:00,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,124.7,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anzol foi englobado pela pele, da pra sentir ao passar a mao."
52,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
53,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
54,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:21.
55,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:22.
56,Leao,CD,29-Jan-20,36,20:30,10,N36,-3.86978,-32.43759,NA,NA,BRA 21606,BRA 21609,NA,114.5,107.6,SIM,#36-29/01/20- BRA 21606/ BRA21609,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Mar-20,20-Mar-20,SU,78,3,11,92,50,NAO,"GPS 10 - N36. 1 ovo anomalo - 2 ""tripa"" (foto)."
57,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:30  e 22:30.
58,Leao,SD,29-Jan-20,NA,22:15,11,SD02,-3.87,-32.43923,NA,NA,BRA 21618,BR 98337,NA,112.7,102,SIM,#SD-29/01/20-BRA 21618/ BR98337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - SD02.
59,Leao,ML,29-Jan-20,NA,22:35,NA,NA,NA,NA,NA,NA,BRA 21620,BRA 21622,NA,103.6,98.7,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
60,Leao,ML,29-Jan-20,NA,22:37,NA,NA,NA,NA,NA,NA,BR 38657,BR 38683,NA,109.9,102.6,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
61,Leao,CD,29-Jan-20,37,23:08,11,N37,-3.86999,-32.43802,NA,NA, BRA 21607,BRA 21608,NA,99.6,97,SIM,#37-29/01/20-BRA 21607/ BRA 21608,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Mar-20,20-Mar-20,SU,75,1,7,83,50,NAO,GPS 11 - N37. 1 ovo anomalo pequeno.
62,Leao,SD,29-Jan-20,NA,23:08,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,124.7,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
